No Urut APPD;No Urut Barat-Timur;Kode PWK;Perwakilan BPKP;Korwas/ Dalnis;PIC Narasi;Tema Pengawasan;Judul Lama Tema di Buku;"Usulan Judul Baru (untuk yg warna Merah)
atau Judul yang Lebih Menarik/""Menjual"" (untuk yang warna putih)";Kebermanfaatan / Dampak;Rendal Substantif;Kode Cluster;Nama Cluster APPD 2022;APakah sudah dibahas di FGD Westin?;"Apakah program yang diawasi ini strategis/tidak? Mengapa program ini strategis?
 Apakah dimuat dalam RPJMD/Renstra?(Lengkapi dengan dokumen Renstra/RPJMD/RKPD) 
 Atau apakah menjadi concern Kepala Gubernur?
Poin ini adalah poin krusial yang akan menentukan persepsi Pak Kepala dalam penentuan strategis atau tidak";ada tidaknya permasalahan/isu yg sedang terjadi (concern Gub);Kejelasan tujuan dan dampak program;Nilai Rupiah dari program/anggaran (dalam konteks multiyears / tahunan). Apakah nilainya signifikan?;"Risiko kegagalan program dan permasalahan lainnya jika tidak diawasi 
atau Potensi bernilai ekonomis tinggi jika tidak diawasi";Rendal Substansi;TW I;TW II;TW III;TW IV;TW I;TW II;TW III;TW IV;;Sudah Semua? (v);Catatan
58;34;29;Kepulauan Bangka Belitung;Agus Wibowo;Ardilles;Pengawasan atas Program Normalisasi Sungai Kurau;Program Normalisasi Sungai Kurau;;ya;D1.03;5;Ketahanan Bencana dan Lingkungan Hidup;;"a. Program Normalisasi Sungai Kurau sangat strategis karena terkait dengan beberapa aspek yaitu bencana (banjir yang sering terjadi), ekonomi (menghambat nelayan untuk pergi ke laut karena menunggu pasang surut air laut), dan pariwisata (gerbang destinasi wisata Pulau Ketawai).
 b. Program normalisasi Sungai Kurai ini sudah termasuk dalam Rencana Pembangunan Jangka Menengah Daerah (RPJMD) Provinsi Kepulauan Bangka Belitung Tahun 2017 – 2022 terutama dalam misi ke-6 yaitu Meningkatkan Pengendalian Bencana dan Kualitas Lingkungan Hidup.
 c. Sudah menjadi perhatian Gubernur dan Bupati Bangka Tengah.";Regulasi yang menghambat pelaksanaan program, penolakan relokasi dari warga yang terdampak, dan lemahnya koordinasi antara Pemerintah Provinsi Kepulauan Bangka Belitung dengan Pemerintah Kabupaten Bangka Tengah terkait pembagian kewenangan pembangunan yang akan dilaksanakan terutama dari sisi kesiapan Pemda dalam masalah ganti rugi/relokasi warga terdampak.;"Tujuan dari program normalisasi ini adalah untuk:
 a. melindungi daerah pemukiman masyarakat dan penataan kawasan nelayan pesisir di sekitar muara sungai.
 b. mengamankan semua kegiatan yang ada di sepanjang muara Sungai Kurau antara lain kegiatan ekonomi, perkantoran dan pariwisata yang setiap tahun selalu terancam banjir.
 c. menghilangkan kendala bagi nelayan untuk melaut yang disebabkan oleh pendangkalan sehingga nelayan dapat pergi dan pulang melaut tidak tergantung lagi dengan pasang surut air laut. 
 d. menjadikan Desa Kurau menjadi Desa Wisata, karena lokasi ini akan menjadi titik poin menuju destinasi wisata Pulau Ketawai sehingga akan mendorong pertumbuhan UMKM.";Berdasarkan RPJMD Provinsi Kepulauan Bangka Belitung, OPD pelaksana adalah Dinas PUPR Provinsi Kepulauan Bangka Belitung dengan nilai Rp21.203.525.120. Selain itu, anggaran dari Pemerintah Kabupaten Bangka Tengah yang diperuntukan untuk pembebasan lahan sebesar Rp10.000.000.000 dan juga dari Balai Wilayah Sungai (BWS) yang melaksanakan program normalisasi Sungai Kurau.;"a. Relokasi warga tidak berjalan dengan baik. 
 b. Banjir tidak dapat tertanggulangi.
 c. Nelayan tidak dapat melaut karena harus menunggu air laut pasang sehingga menimbulkan dampak ekonomi kepada masyarakat yang berprofesi sebagai nelayan.
 d. Potensi Desa Kurai sebagai desa wisata menjadi tidak berhasil.";D 1.2;;;;;;;✓;;;;
59;46;30;Banten;Ade Sunardi;Roy;Pengawasan atas Program Pemberdayaan Petani di Daerah Sentra Produksi Pangan;Program Pemberdayaan Petani di Daerah Sentra Produksi Pangan;;Ya;D1.02;6;Ketahanan Pangan;;"Program peningkatan produksi dan ketahanan pangan termasuk program prioritas Pemerintah Provinsi Banten. Selain itu, Banten termasuk 10 besar wilayah penghasil pangan secara nasional. 
";Kesejahteraan petani di wilayah Banten yang dicerminkan oleh Nilai Tukar Petani (NTP) menempati urutan ke empat terendah se Indonesia. Demikian juga peringkat Indeks Ketahanan Pangan (IKP) Provinsi, kabupaten, kota di Banten cenderung turun dalam dua tahun terakhir.;Tujuan dari program yaitu untuk meningkatkan pendapatan dan kesejahteraan petani yang salah satu indikator keberhasilannya dilihat dari meningkatnya Nilai Tukar Petani (NTP). ;Belum ada di KAK;"Risiko program:
- Belum terintegrasi dan bersinerginya kebijakan terkait pemberdayaan petani antara Pemerintah Pusat, Pemerintah Provinsi, Pemerintah Kabupaten dan BUMN/D.
- Belum memadainya perencanaan dan penganggaran Program Pemberdayaan Petani baik di tingkat pemerintah daerah maupun OPD.
- Belum optimalnya peran serta koordinasi antar stakeholders dalam pelaksanaan program/kegiatan pemberdayaan petani.
- Pelaksanaan program/kegiatan pemberdayaan petani yang telah ada belum dapat memenuhi kebutuhan atau mencapai tujuan pemberdayaan petani sesuai yang diharapkan.
";D 1.2;;;;✓;;;✓;;;;
60;63;30;Banten;Ade Sunardi;Roy;Pengawasan atas Dukungan Pemerintah Daerah terhadap Kawasan Pengembangan Pariwisata Nasional (KPPN);Program Distribusi Bahan Pokok di Wilayah Banten;;Tidak;D1.02;6;Ketahanan Pangan;;Program ini tercakup di dalam RPJMD Provinsi Banten tahun 2017-2022 yaitu Misi ke-5 yaitu meningkatkan kualitas pertumbuhan dan pemerataan ekonomi;Pemerintah Provinsi Banten telah mengadakan lahan seluas 10 Ha di Kabupaten Serang tahun 2018-2019 untuk dijadikan Pusat Distribusi Banten (PDP). Pembangunan ini terhenti selama dua tahun karena adanya pandemi Covid-19. Pembangunan PDP dilanjutkan tahun 2022 dengan anggaran Rp41,32 M. Permasalahan lain yang dihadapi yaitu resistensi dari pedagang besar/ tengkulak, dan belum semua pemerintah kabupaten/kota memahami pentingnya program, serta ketidaksiapan BUMD dalam mendukung program.;;;;D 1.4;;;;✓;;;;✓;;;"1. perluas lingkup pengawasan ke distribusi bahan pokok jangan fokus ke PDP
- penjelasan pengawasan dengan saran rekomendasi (tidak mengawasi pembangunan PDP)"
61;40;31;Gorontalo;Agus Wibowo;Rudy;Pengawasan atas Program Perhutanan Sosial;Penanganan Pemukiman Kumuh Perkotaan di Gorontalo;;Ya;D1.02;4;Pembangunan Sumber Daya Manusia;;terdapat peningkatan luasan area kumuh di perkotaan.;Perbedaan wewenang pempus, pemkot, pemprov tergantung luasan kawasan kumuh. menyebabkan ;isi;isi;isi;D 1.2;;;;;;;✓;;;;
62;50;31;Gorontalo;Agus Wibowo;Rudy;Pengawasan atas Program Peningkatan Produktivitas Peternakan Sapi;Program Peningkatan Produktivitas Peternakan Sapi;;Ya;D1.02;6;Ketahanan Pangan;;"Menduduki posisi 16 dalam sebaran sapi nasional, kontribusi Gorontalo terhadap kebutuhan daging nasional masih sangat kecil, 1,45%. 
Dari sisi geografis dan peningkatan produksi daging sekitar 5% dalam empat tahun terakhir, Gorontalo memiliki keunggulan kompetitif untuk menjadi lumbung daging sapi di regional INdonesia Timur. Peningkatan ekspor sapi di tahun 2021 sebesar 3.5 kali dari tahun 2019.";efektivitas program dalam peningkatan produktivitas tenrak sapi. Perlu dielaborasi dari sisi dampak. tidak hnaya analisis operasional.;peningkatan produktivitas ternak sapi dan bantuan ternak sapi di Provinsi Gorontalo.;belum;belum;D 1.2;;;;;;;✓;;;;
63;30;32;Sulawesi Barat;Aderial Adelis;Sampit;Pengawasan atas Program Tangani Total Anak Tidak Sekolah (PORTAL ATS);Peningkatan Produksi Perikanan;;Ya;D1.02;6;Ketahanan Pangan;;Provinsi Sulbar memiliki Wilayah Pengelolaan Perikanan yang potensial. Oleh karena itu, salah satu prioritas RPJMD 2017-2022 Provinsi Sulbar adalah perikanan. Selain itu pada tahun 2022, Dinas Perikanan dan Kelautan memiliki Program Pengelolaan Perikanan Budidaya dan Tangkap;Belum pernah diukur efektivitasnya sejak periode awal RPJMD;Bertujuan meningkatkan produksi perikanan Sulbar;Total anggaran yang dikucurkan Pemerintah Provinsi Sulawesi Barat di tahun 2019 s.d 2021 sebesar36,9 M;Program tidak efektif dalam meningkatkan produksi pertanian;;;;;;;;;;;;"1. Perjelas program yang akan diawasi
2. masalah terkait program tersebut"
64;65;32;Sulawesi Barat;Aderial Adelis;Sampit;Pengawasan atas Program Peningkatan Daya Tarik Destinasi Pariwisata;Peningkatan Produksi Pertanian;;Ya;D1.02;6;Ketahanan Pangan;;Sektor pertanian adalah sumber PDRB terbesar Sulawesi Barat. Untuk menjaga produksi pertanian, Provinsi Sulawesi Barat menetapkan Program Produksi Pertanian dalam RPJMD 2017-2022. ;Program sudah dijalankan dari tahun 2019, namun belum pernah diukur efektivitasnya;Program bertujuan untuk meningkatkan produksi pertanian;Total anggaran yang dikucurkan Pemerintah Provinsi Sulawesi Barat di tahun 2019 s.d 2022 sebesar 61,2 M;Program tidak efektif dalam rangka menunjang peningkatan produksi pertanian;;;;;;;;;;;;"1. Perjelas program apa yang diawasi
2. Apa masalah spesifik yang akan diawasi "
65;14;33;Maluku Utara;Aderial Adelis;Sampit;Pengawasan atas Pengembangan Kota Baru Sofifi;Pengembangan Kota Baru Sofifi;;Ya;D1.03;2;Pengembangan Kawasan dan Ekonomi Regional;;Pembangunan kota Sofifi menjadi program strategis dalam RPJMD Provinsi Maluku Utara dan merupakan major project dalam RKP 2022 dengan. Selain itu pembangunan kota Sofifi menjadi perhatian nasional dengan adanya rapat koordinasi Menteri di Sofifi (22/06/2021) dan perhatian regional dengan banyaknya pemberitaan pada media lokal sehingga menjadi perhatian Gubernur.;Sejak diresmikan pada tahun 2010, Sofifi belum dapat berfungsi sebagai Ibukota Provinsi. Belum berfungsinya Sofifi ditunjukkan dengan kurang efektifnya layanan Pemprov Maluku Utara. Kurang efektifnya layanan ini disebabkan sarana perkantoran yang belum tertata, fasilitas dasar yang masih kurang, dan ASN yang masih bermukim di Ternate karena kurangnya hunian dan transportasi di Sofifi;Program pembangunan Kota Sofifi dibebankan pada 3 Dinas dengan tujuan pembangunan fasilitas dasar, hunian ASN, dan peningkatan fasilitas umum. Dampak dari program ini adalah percepatan penggunaan Sofifi sebagai ibukota baru;Target RKP disertai dana 1,028 T sedangkan pendanaan menurut pagu indikatif pada RPJMD Malut 2020-2024 sebesar 233 ,6 M;Jika tidak diawasi maka Sofifi tetap belum dapat digunakan sebagai Ibukota dan layanan administratif Provinsi Maluku Utara akan terus tidak efektif;"belum, perlu diperjelas:
1. target RPJMD atas target meningkatkan indeks kota berkelanjutan  dan pendanaannya";;;✓;;;✓;;;;V;
66;23;33;Maluku Utara;Aderial Adelis;Sampit;Pengawasan atas Optimalisasi Tol Laut di Provinsi Maluku Utara;Optimalisasi Tol Laut di Provinsi Maluku Utara;belum ada karena beberapa hal perlu diklarifikasi;Ya;D1.03;3;Penguatan Infrastruktur dan Konektivitas;;Peningkatan ekspor ke luar daerah menjadi concern Gubernur Maluku Utara. Hal ini disebabkan rendahnya nilai ekspor antara daerah dibandingkan impor antar daerah pada Provinsi Maluku Utara. Dua moda utama ekspor antara daerah di adalah tarnsportasi masyarakat dan tol laut, dimana tol laut merupakan titik utama ekspor antar daerah;Ekspor antar daerah yang lebih rendah dari impor antar daerah dari tahun 2015-2019 dan berkurangnya PDRB yang diakibatkan oleh banyaknya impor antar daerah di Prov Malut;Peningkatan ekspor daerah ditunjang oleh 5 program yang bertujuan untuk menurunkan defisit ekspor antar daerah dari Rp14,10 triliun menjadi Rp5,50 triliun;Total pendanaan untuk 5 program sebesar 33,8 M;JIka tidak diawasi maka ekspor antar daerah pada Provinsi Maluku Utara akan terus rendah dan tidak dapat menyumbang kepada PDRB;"belum, perlu diperjelas:
1. apakah program tol laut ada di RPJMD atau merupakan concern gubernur?
2. hubungan target dalam RPJMD dengan program tol laut
3. Tujuan program tol laut
4. Signifikansi program tol laut mengingat kecilnya anggaran";;;✓;;;;;✓;;V;
67;56;34;Kalimantan Utara;Fajar Hudoyo;Rudy;Pengawasan atas Pengelolaan OPAD Pajak Sarang Burung Walet;Optimalisasi PAD Pajak Sarang Burung Walet;;Ya;D3.01;7;Pengelolaan dan Optimalisasi PAD;;Pengusaha burung walet banyak dan sarang burung walet bernilai tinggi namun realisasi Pajak Sarang Burung Walet pemda hanya seperempat dari seharusya jika dibandingakan nilai ekspor menurut Balai Karantina Pertanian Tarakan.  ;"minimnya data dan validitas data pengusaha. 
regulasi belum jelas. Sehingga pengenenaan pajak daerah dari sarang burung walet belum optimal
";"Penyusunan Peraturan Daerah untuk Pungutan Pajak Sarang Burung Walet. yang akan berimplikasi pada potensi PAD dengan nilai signifikan dalam jangka panjang.
Note: apakah ada dampak ke peningkatan derajat kemandirian fiskal jika program optimalisasi PAD dari sarang burung walet ini?";Sebagai gambaran: pada Jan-Agst 2020: Realisasi Produksi Sarang Burung Walet (dari Balai Karantina Pertanian Tarakan): 192 miliar. Setidaknya, PAD seharusnya 193juta (10 persen dari nilai tersebut). Sementara itu, realisasi Jan-Agustus 2021 hanya sebesar 50 juta atau sekitar seperempat dari kondisi ideal.;"Bottleneck dalam optimalisasi pajak sarang burung walet dari tiga pihak, yakni Pempus Pemda dan pengusaha.
-Kurangnya respon Pemerintah Pusat terkait regulasi tambahan persyaratan sertifikasi bebas edar sarang burung walet
-Penolakan Pengusaha/Masyarakat atas besaran tarif pajak sarang burung walet
-Kurangnya komitmen Pemda dalam penegakan aturan
";D 3.1;;;✓;;;✓;;;;v;
68;47;34;Kalimantan Utara;Fajar Hudoyo;Rudy;Pengawasan atas Program Peningkatan Kesejahteraan Petani dalam Program Ketahanan Pangan Daerah;Peningkatan Kesejahteraan Petani dalam Program Ketahanan Pangan;;Ya;D1.02;6;Ketahanan Pangan;;"Program ini bersifat strategis karena melibatkan kepentingan masyarakat dan berkaitan erat dengan pemenuhan kebutuhan dasar masyarakat.
 Peningkatan kesejahteraan petani tercantum dalam Bab VI RPJMD Provinsi Kalimantan Utara Tahun 2021 - 2026, di mana Nilai Tukar Petani tahun 2020 sebesar 103,43, dan pada tahun 2022 diharapkan menjadi 103,50.
 
 Catatan:
 -Apakah indikator capaian sebesar peningkatan 0,07 dari baseline dalam jangka 5 tahun berarti kurang concernnya pemda dalam meninkatkan kesejahteraan petani (yg ditandai dengan NTP).
 -Sementara peningkatan NTP nasional rata-rata sebesar 0.49 persen (BPS, 2021). Subsektor tanaman pangan 0.13 per tahun";"Diperlukannya bantuan sarana produksi pertanian seperti bibit, peralatan pertanian, serta jalan tani yang memerlukan perbaikan.
 
 Cataxtan:
 Tolong dielaborasi pada bagian gap antara kebutuhan petani dan intervensi yang dapat dilakuakn pemda untuk menurunkan biaya produksi pertanian dan/atau meningkatkan pendapatan petani.";"Program ini bertujuan meningkatkan kapasitas dan daya saing masyarakat pertanian.
 Dampak program yang diharapkan adalah meningkatnya kesejahteraan petani.";"DIPA APBN Rp.............. (belum diperoleh data).
 DPA APBD Provinsi Kalimantan Utara belum ada.
 
 
 Catatan:
 Harus dilengkapi data dokumen perencanaan lima tahunan, tahunan dan penanganggaran:";"Risiko kegagalan program:
 1. Bantuan dari pemerintah tidak sampai kepada petani yang membutuhkan.
 2. Gagal panen.
 3. Produksi pertanian tidak optimal (misalnya karena cara pengolahan yang tidak tepat, atau peralatan pertanian yang tidak dapat dimanfaatkan karena tidak tepat jenisnya untuk lokasi terkait).
 4. Hasil pertanian tidak dapat dijual secara optimal karena terkendala akses ke pasar.
 5. Harga jual hasil pertanian terlalu rendah sehingga tidak dapat menutup biaya produksinya.";D 1.2;;;✓;;;;✓;;;;
